,County,State,Median Home Value,Household Income,Per Capita Income,Population,Median Age
2284,Adams County,Indiana,122400.0,51713.0,22514.0,35195.0,33.4
2247,Allen County,Indiana,123800.0,53402.0,28239.0,370016.0,35.8
2277,Bartholomew County,Indiana,143800.0,59045.0,30515.0,81893.0,37.7
3175,Benton County,Indiana,87900.0,46188.0,23322.0,8667.0,40.5
2258,Blackford County,Indiana,71300.0,42217.0,24663.0,12129.0,44.3
2279,Boone County,Indiana,222500.0,80567.0,44712.0,64321.0,38.0
2235,Brown County,Indiana,186000.0,61455.0,33617.0,15034.0,49.2
3189,Carroll County,Indiana,131600.0,56429.0,28430.0,19994.0,42.8
2224,Cass County,Indiana,85500.0,47545.0,23918.0,38084.0,40.8
3193,Clark County,Indiana,137800.0,54240.0,28525.0,115702.0,38.9
2226,Clay County,Indiana,102000.0,53021.0,25290.0,26268.0,40.9
2236,Clinton County,Indiana,104000.0,52488.0,24276.0,32301.0,38.2
2223,Crawford County,Indiana,89700.0,43875.0,21021.0,10581.0,43.6
2239,Daviess County,Indiana,121500.0,51032.0,22548.0,32937.0,34.7
2275,DeKalb County,Indiana,118100.0,53808.0,27036.0,42704.0,39.1
2240,Dearborn County,Indiana,165400.0,65096.0,29891.0,49501.0,42.7
2248,Decatur County,Indiana,124700.0,54622.0,26515.0,26552.0,38.9
3184,Delaware County,Indiana,90900.0,42705.0,24234.0,115616.0,35.4
3171,Dubois County,Indiana,149500.0,58994.0,28932.0,42418.0,40.4
2222,Elkhart County,Indiana,137900.0,55399.0,25075.0,203604.0,35.5
2285,Fayette County,Indiana,82400.0,43317.0,23627.0,23259.0,42.6
2249,Floyd County,Indiana,165700.0,61754.0,32299.0,76809.0,39.9
2221,Fountain County,Indiana,94900.0,49887.0,26721.0,16486.0,43.1
2228,Franklin County,Indiana,151900.0,58382.0,27557.0,22842.0,42.0
2280,Fulton County,Indiana,97200.0,49333.0,25106.0,20212.0,41.3
2253,Gibson County,Indiana,110300.0,52620.0,27137.0,33596.0,40.3
2229,Grant County,Indiana,89500.0,42593.0,21739.0,66944.0,40.3
